train_loss,val_loss,train_acc,val_acc
0.48942303243610596,0.35788854777812956,0.7961119013750593,0.8520859671302149
0.3951679472670411,0.3418089801073074,0.839576418523787,0.8508217446270544
0.3747888579964638,0.3095166724920273,0.8492176386913229,0.8634639696586599
0.36518406529318204,0.31039354562759397,0.8463726884779517,0.8685208596713021
0.3382903600883002,0.30744133055210116,0.8588588588588588,0.8647281921618205
0.3365493776521297,0.27307250201702116,0.859965228386281,0.8786346396965866
0.325968518552154,0.3479190906882286,0.8604393867551763,0.8621997471554994
0.31039027365470173,0.26289639711380003,0.8729255571360834,0.8836915297092288
0.3112853102461256,0.25589677691459656,0.8713450292397661,0.8798988621997471
0.3040870734010682,0.2603931164741516,0.8752963489805595,0.8900126422250316
0.2914269096171013,0.26310198843479154,0.8806701438280385,0.8900126422250316
0.2948587949227805,0.28686093211174013,0.8764027185079817,0.8862199747155499
0.2946329645135186,0.27076586306095124,0.8760866129287181,0.8811630847029077
0.2831777727062052,0.2746227791905403,0.8798798798798799,0.8862199747155499
0.27235778654464565,0.23485198020935058,0.8850956219377272,0.8975979772439949
0.27483141580314346,0.2373714876174927,0.8857278330962541,0.8975979772439949
0.2644671472259844,0.21438275396823883,0.8928402086296823,0.9026548672566371
0.25350138876173234,0.2140028315782547,0.8960012644223171,0.9064475347661188
0.25372551968603424,0.21514817714691162,0.893630472577841,0.9026548672566371
0.2478045170957392,0.23353150010108947,0.8986881618460566,0.900126422250316
