train_loss,val_loss,train_acc,val_acc
0.43175090719578846,0.15006132021546364,0.8337284653074126,0.9367888748419722
0.21338212810870674,0.15218011282384394,0.9160739687055477,0.9367888748419722
0.17788096616101085,0.07080252654850483,0.9304567725620357,0.9709228824273072
0.13749506596400582,0.07378518894314766,0.9451556819977872,0.965865992414665
0.11809834019948888,0.06454715173691511,0.9571676940097993,0.9785082174462706
0.11329989553890144,0.1095697731897235,0.9601706970128022,0.9595448798988622
0.10565196634905244,0.08856019476428628,0.9644381223328592,0.9646017699115044
0.09497716431176723,0.053308204640634356,0.9649122807017544,0.9823008849557522
0.08480675120819171,0.07140758464112879,0.9691797060218112,0.9759797724399494
0.07649676655795463,0.059850531122647224,0.9694958116010748,0.9797724399494311
0.07474212806596599,0.05437432088889182,0.9715504978662873,0.9810366624525917
0.0852551426693816,0.04743928459007293,0.9698119171803382,0.9835651074589128
0.0652202222886674,0.0930775997787714,0.9770823455033981,0.9734513274336283
0.06518522219325538,0.07093384353443981,0.9775565038722933,0.9709228824273072
0.05695178707170234,0.05236979849170893,0.9777145566619251,0.9810366624525917
0.05643290339150664,0.0828443280654028,0.9807175596649281,0.9734513274336283
0.038349669694787626,0.05869636716670357,0.9876718824087245,0.9860935524652339
0.03811458099546438,0.05092621503281407,0.9873557768294611,0.9873577749683944
0.026244618040344895,0.04709011414408451,0.989726568673937,0.9898862199747156
0.0283304736418873,0.061487036152975634,0.9898846214635688,0.9848293299620733
0.032462571527705424,0.05374020467483206,0.9878299351983563,0.9860935524652339
0.023913698976170367,0.05175323474570177,0.9914651493598862,0.9848293299620733
0.021913953292309402,0.04923099671606906,0.9916232021495179,0.9873577749683944
0.02133215436877417,0.051814014905830846,0.9936778884147305,0.9848293299620733
0.01850714622791698,0.05364974212468951,0.9936778884147305,0.9848293299620733
0.02299970339082034,0.047747342789079994,0.9919393077287814,0.9911504424778761
0.014980780262593533,0.04725104601806379,0.9952584163110479,0.9848293299620733
0.01743633042533842,0.0560773152425827,0.9932037300458353,0.988621997471555
0.015097901790630369,0.04740046952909324,0.9947842579421526,0.988621997471555
0.010531454443315108,0.06632918716022687,0.9973131025762605,0.9873577749683944
